Type,Name,TotalRows,MaxKPI,MinKPI,AvgKPI
Granularity,1Minute,1440,12.828923153846157,-237.60000180952383,-0.8163891949437715
Granularity,5Minutes,288,4.564263128385509,0.00106481668212802,0.46531209386332606
Granularity,10Minutes,144,3.7724412106662935,0.0011092164776056513,0.4610891841970843
Granularity,15Minutes,96,1.8550022685699707,0.0011344705441444932,0.4418455942401694
Granularity,20Minutes,72,1.7802974524436699,0.0011424537711961949,0.43747677711565874
Granularity,30Minutes,48,1.7187063639934155,0.001137422185937341,0.43468607956309463
Granularity,1Hour,24,0.9880110439637175,0.07870215260188894,0.42372186129188893
Granularity,2Hours,12,0.7271758814831282,0.11777538596176103,0.41360087000528667
Granularity,6Hours,4,0.5583686243647473,0.32282729075250133,0.40295585727862543
Granularity,8Hours,3,0.5565553852403193,0.26742565709896055,0.40863343946187497
Granularity,12Hours,2,0.46463144847330046,0.3406135905560428,0.40262251951467165
Shift,Shift1,240,0.4317110848380625,0.3371610979338149,0.37974413195367485
Shift,Shift2,480,12.828923153846157,-183.13811226415092,-0.040567576874678817
Shift,Shift3,480,4.677763943534726,0.0009670270633268418,0.3927680319022656
