Timestamp,SDS_Factor
06/17/2026 11:00:00,0.3817144950916936
06/17/2026 12:00:00,0.38065413225485617
06/17/2026 13:00:00,0.38265984856881063
06/17/2026 14:00:00,0.37195264443071274
06/17/2026 15:00:00,0.34067379840938183
06/17/2026 16:00:00,0.37432806805744134
06/17/2026 17:00:00,0.5279559040558012
06/17/2026 18:00:00,0.45221257437363127
06/17/2026 19:00:00,0.4637182490863063
06/17/2026 20:00:00,0.5261329424909184
06/17/2026 21:00:00,0.5760852537743696
06/17/2026 22:00:00,0.9880110439637175
06/17/2026 23:00:00,0.5217345764072908
06/18/2026 00:00:00,0.557687827789131
06/18/2026 01:00:00,0.7901845113572177
06/18/2026 02:00:00,0.30335508661415655
06/18/2026 03:00:00,0.07870215260188894
06/18/2026 04:00:00,0.15726242141867922
06/18/2026 05:00:00,0.21533657336163578
06/18/2026 06:00:00,0.26738490364960205
06/18/2026 07:00:00,0.35979789924293604
06/18/2026 08:00:00,0.4714519253104266
06/18/2026 09:00:00,0.376020622579202
06/18/2026 10:00:00,0.3043072161155277
